"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
1,"TMS","Team Structure","598107049@qq.com","CONFIRMED"," ---","添加member失败","2016-12-25 17:24:08"
130,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","PM没有SRS文档里Task Daily Report描述的权限","2016-12-25 17:20:09"
34,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","【URL】不登陆直接访问修改密码界面会显示用户密码","2016-12-25 22:54:17"
124,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","Unlock report用例没有实现","2016-12-25 16:51:45"
27,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task View】查询任务信息时选择任务所有者为自己无法显示任务信息","2016-12-25 22:52:14"
30,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","【Change Password】修改密码界面直接显示密码","2016-12-25 22:53:45"
32,"TMS","Login/Logout","598107049@qq.com","CONFIRMED"," ---","【Change Password】没有登录就可以访问修改密码界面","2016-12-25 22:54:01"
66,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","members表email属性长度不够","2016-12-25 00:16:03"
43,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在基于时间的SQL注入漏洞","2016-12-24 23:29:42"
4,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","director下载task相关文件时下载链接无效","2016-12-19 21:41:48"
44,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在基于时间的SQL注入漏洞","2016-12-24 23:31:02"
5,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","director修改report status时""change""按钮缺失","2016-12-19 21:46:19"
45,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:33:57"
18,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","output document:employee无法再该页面查看document，且上传文件失败","2016-12-20 00:33:25"
6,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","director修改report status时""confirm""按钮缺失","2016-12-19 21:48:14"
46,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:36:18"
10,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","comment:director评论task时，""reply""按钮缺失","2016-12-19 23:59:18"
7,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","director修改report status时""confirm""按钮缺失","2016-12-19 21:49:00"
47,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:40:19"
21,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】修改任务时没有显示上传附件的按钮","2016-12-25 22:49:38"
11,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","【Reports Info】修改任务信息界面点击Cancel按钮没有响应","2016-12-25 22:44:55"
48,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:40:49"
41,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在基于时间的SQL注入漏洞","2016-12-24 23:24:57"
50,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:43:41"
58,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:58:21"
42,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在基于时间的SQL注入漏洞","2016-12-24 23:27:31"
13,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","comment:director评论task时，""quote""按钮缺失","2016-12-20 00:10:29"
51,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:43:57"
59,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在会显示出保存的跨站脚本的漏洞","2016-12-25 00:05:27"
125,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","系统与member表单的增删改未集成","2016-12-25 16:53:40"
16,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】申请新任务时没有显示上传附件的按钮","2016-12-25 22:48:01"
52,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:47:13"
74,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","可以绕过登陆直接访问内部页面","2016-12-25 00:31:03"
126,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","remind用例没有实现","2016-12-25 16:54:33"
54,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:48:04"
127,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","系统与teamstructure表单的增删改未集成","2016-12-25 16:56:21"
56,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:50:48"
129,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","verify task用例没有实现","2016-12-25 17:03:44"
57,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在SQL盲注漏洞","2016-12-24 23:54:11"
165,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS中的用例Remind(task)在FS中缺失","2016-12-27 11:24:09"
167,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS中的用例Upload Deliveries在FS中缺失","2016-12-27 13:58:31"
28,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task View】查询时没有对起止日期大小的限制","2016-12-25 22:52:35"
19,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】修改界面点击Cancel按钮没有响应","2016-12-25 22:48:37"
35,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","【FS】5.32与5.21重复","2016-12-25 22:54:39"
114,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Unverified Reports页面,没有select all按钮","2016-12-25 14:15:36"
12,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","【Reports Info】修改信息时开始时间大于结束时间没有相应的判断","2016-12-25 22:45:24"
115,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Unverified Reports页面,没有unselect all按钮","2016-12-25 14:21:52"
116,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Unverified Reports页面,不选中任何报告点击verify按钮系统错误","2016-12-25 14:54:46"
117,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证Unverified Reports页面,不选中任何报告点击reject按钮系统错误","2016-12-25 14:59:54"
17,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】点击Cancel按钮没有响应","2016-12-25 22:48:18"
122,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS文档描述的任务的一个属性catalog在系统中始终没有出现","2016-12-25 16:42:06"
85,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面时，点击ALL R按钮显示的所有报告数量不符","2016-12-25 10:28:52"
162,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","View Reports在SRS和FS中描述矛盾","2016-12-27 11:06:26"
173,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","FS中Unverified Reports页面按钮描述和界面设计矛盾","2016-12-27 15:06:03"
123,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS文档关于删除任务的描述矛盾","2016-12-25 16:44:19"
88,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面时，不能下载选定任务的delivery","2016-12-25 10:43:34"
163,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Verify Reports在SRS和FS中描述矛盾","2016-12-27 11:06:49"
111,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面，已被分配的任务也可以被删除","2016-12-25 12:02:18"
153,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","message模块的删除在需求文档中更新不同步","2016-12-27 08:58:55"
154,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","ER图task实例属性逻辑错误","2016-12-27 16:59:05"
25,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task View】查询任务信息时输入截止日期只显示该日期的信息","2016-12-25 22:51:23"
26,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task View】查询任务信息时输入起止日期只显示符合起止日期的信息","2016-12-25 22:51:48"
22,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】申请新任务时没有对起止日期大小的限制","2016-12-25 22:49:57"
23,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】修改任务时没有对起止日期大小的限制","2016-12-25 22:50:13"
24,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task View】查询任务信息时输入开始日期只显示该日期的信息","2016-12-25 22:50:35"
164,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Unlock Report在FS和SRS文档中权限描述矛盾","2016-12-27 11:19:04"
155,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","显示gender信息应该为可读信息而非数据库中的表示","2016-12-27 09:52:44"
63,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在跨站脚本编制的漏洞","2016-12-25 00:10:39"
64,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在跨站脚本编制的漏洞","2016-12-25 00:12:06"
65,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在跨站脚本编制的漏洞","2016-12-25 00:13:40"
67,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","用户的请求不安全","2016-12-25 00:15:53"
77,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在整数溢出问题","2016-12-25 00:35:58"
68,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在跨站请求伪造的漏洞","2016-12-25 00:19:08"
60,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在跨站脚本编制的漏洞","2016-12-25 00:07:03"
69,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在链接注入的漏洞","2016-12-25 00:21:20"
61,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","存在跨站脚本编制的漏洞","2016-12-25 00:09:05"
8,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","【My Reports】多次点击查询无法正确显示查询结果","2016-12-25 22:43:37"
9,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","【My Reports】日期输入框中输入异常字符串没能显示错误信息","2016-12-25 22:44:36"
92,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS文档缺少Members Task Statistics的用例","2016-12-25 11:04:07"
151,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS还缺少修改密码的用例","2016-12-26 16:09:31"
97,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面,修改任务时用户输入有逻辑错误依旧可以提交","2016-12-25 11:18:25"
109,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面,新建任务时用户计算duration错误","2016-12-25 11:47:25"
110,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面,修改任务时用户计算duration错误系统不报错","2016-12-25 11:50:10"
113,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证tasks页面，查看搜索出的任务的可下载的delivery不能正常下载","2016-12-25 13:32:41"
76,"TMS","Security","598107049@qq.com","CONFIRMED"," ---","程序存在未处理的异常","2016-12-25 00:34:40"
131,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","SRS文档关于message的描述不清晰","2016-12-25 17:36:51"
143,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","页面不区分大小写","2016-12-25 20:19:41"
90,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面时，用户必输入字段未输入完整时系统报错","2016-12-25 10:54:34"
91,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面,用户输入有逻辑错误依旧可以提交","2016-12-25 11:03:27"
62,"TMS","Database","598107049@qq.com","CONFIRMED"," ---","report记录对task记录没有外码依赖","2016-12-25 00:11:10"
145,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","Verify Task Request界面SRS里的用例和FS里面的事件流不一致","2016-12-26 15:44:41"
94,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","验证current task页面,修改任务时用户必输入字段未输入完整，系统报错","2016-12-25 11:10:50"
156,"TMS","Document","598107049@qq.com","CONFIRMED"," ---","修改和删除task没有说明范围","2016-12-27 10:27:44"
14,"TMS","Task Daily Report","598107049@qq.com","CONFIRMED"," ---","【Reports Info】Description信息框中会比原有信息多出若干空格","2016-12-25 22:46:38"
15,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】申请新任务时不应该显示输入Duration信息","2016-12-25 22:47:43"
20,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task Request】修改任务时不应该显示输入Duration信息","2016-12-25 22:48:54"
29,"TMS","Task Management","598107049@qq.com","CONFIRMED"," ---","【Task View】任务列表标题开始日期“Starat Date”拼写错误","2016-12-25 22:52:51"
31,"TMS","UI","598107049@qq.com","CONFIRMED"," ---","【Change Password】修改密码提示失败信息后没有跳转回正常界面","2016-12-25 22:53:11"
